City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
491,Gushikawa,26.3544,127.8686,63.63,56,90,6.91,JP,2021-12-03 17:16:21
492,Lagos,6.5833,3.75,83.75,75,42,8.68,NG,2021-12-03 17:13:02
493,Tual,-5.6667,132.75,83.01,71,100,0.98,ID,2021-12-03 17:16:22
494,Gorodishche,48.8045,44.4744,41.88,75,0,13.42,RU,2021-12-03 17:16:22
495,Kruisfontein,-34.0033,24.7314,62.89,69,76,8.08,ZA,2021-12-03 17:16:22
496,Hailin,44.5833,129.4167,5.94,76,38,11.01,CN,2021-12-03 17:16:23
497,Mamontovo,52.7055,81.6244,31.55,94,100,13.94,RU,2021-12-03 17:16:23
498,Rawson,-43.3002,-65.1023,68.22,36,8,12.73,AR,2021-12-03 17:16:23
499,Ariquemes,-9.9133,-63.0408,82.0,69,100,3.42,BR,2021-12-03 17:16:24
500,Zinder,13.8072,8.9881,87.76,20,18,2.3,NE,2021-12-03 17:17:24
501,Ayorou,14.7308,0.9174,89.6,11,97,6.51,NE,2021-12-03 17:17:24
502,Taonan,45.3333,122.7833,5.11,84,6,4.14,CN,2021-12-03 17:17:25
503,Tiffin,41.1145,-83.178,40.01,93,100,4.32,US,2021-12-03 17:17:25
504,Guaymas,27.9333,-110.9,71.46,49,40,0.0,MX,2021-12-03 17:17:25
505,Bandarbeyla,9.4942,50.8122,78.57,61,2,20.56,SO,2021-12-03 17:17:26
506,Ozinki,51.1786,49.6769,38.68,83,100,17.16,RU,2021-12-03 17:17:26
507,Yulara,-25.2406,130.9889,82.24,24,1,8.05,AU,2021-12-03 17:17:26
508,Kemijarvi,66.7131,27.4306,6.51,97,84,4.03,FI,2021-12-03 17:17:26
509,Wasilla,61.5814,-149.4394,4.15,80,90,0.0,US,2021-12-03 17:13:49
510,Cambridge,43.3601,-80.3127,36.37,71,90,1.99,CA,2021-12-03 17:16:15
511,Adrar,20.5022,-10.0711,72.27,20,100,10.65,MR,2021-12-03 17:17:27
512,Finschhafen,-6.6024,147.8681,80.46,85,99,6.06,PG,2021-12-03 17:17:27
513,Kyaikkami,16.08,97.5675,77.49,71,70,7.72,MM,2021-12-03 17:17:28
514,Kipini,-2.5257,40.5262,82.69,77,73,8.97,KE,2021-12-03 17:17:28
515,Lamu,-2.2717,40.902,82.62,76,88,8.7,KE,2021-12-03 17:15:00
516,Alexandria,31.2156,29.9553,66.09,55,100,7.45,EG,2021-12-03 17:13:21
517,Ilebo,-4.3167,20.5833,77.92,73,99,0.31,CD,2021-12-03 17:14:08
518,Winterberg,51.2,8.5333,32.65,88,100,14.99,DE,2021-12-03 17:17:29
519,Carutapera,-1.195,-46.02,84.36,70,80,4.85,BR,2021-12-03 17:17:29
520,Trabzon,40.9167,39.8333,50.09,35,0,6.91,TR,2021-12-03 17:17:29
521,Charyshskoye,51.3978,83.5598,34.07,92,100,10.76,RU,2021-12-03 17:17:30
522,Tiznit,29.5833,-9.5,61.81,40,0,4.94,MA,2021-12-03 17:17:30
523,Arzgir,45.3728,44.2206,41.45,86,59,8.08,RU,2021-12-03 17:17:31
524,Campbell River,50.0163,-125.2446,34.45,97,75,5.75,CA,2021-12-03 17:17:31
525,Udankudi,8.4333,78.0167,79.92,77,97,3.51,IN,2021-12-03 17:17:31
526,Udachnyy,66.4167,112.4,-8.72,93,100,14.41,RU,2021-12-03 17:17:31
527,Umm Kaddadah,13.6017,26.6876,76.53,20,0,12.3,SD,2021-12-03 17:17:32
528,Narasannapeta,18.4167,84.05,67.8,91,100,9.15,IN,2021-12-03 17:17:32
529,Ourossogui,15.6064,-13.3211,97.72,7,73,10.89,SN,2021-12-03 17:17:32
530,Tilichiki,60.4667,166.1,21.49,82,98,15.64,RU,2021-12-03 17:17:33
531,Talnakh,69.4865,88.3972,-25.8,98,100,10.18,RU,2021-12-03 17:14:15
532,Foso,5.7012,-1.2866,86.47,59,73,5.37,GH,2021-12-03 17:17:33
533,Salinas,36.6777,-121.6555,55.83,82,90,0.0,US,2021-12-03 17:13:24
534,Cartagena,10.3997,-75.5144,87.42,70,20,3.44,CO,2021-12-03 17:17:33
535,Syracuse,37.0881,15.2792,58.59,70,100,10.2,IT,2021-12-03 17:17:34
536,Lar,26.2039,83.9717,69.89,54,98,1.43,IN,2021-12-03 17:17:34
537,Robertsport,6.7533,-11.3686,82.99,73,90,11.63,LR,2021-12-03 17:17:34
538,Klaksvik,62.2266,-6.589,34.72,65,71,7.92,FO,2021-12-03 17:17:35
539,Sept-Iles,50.2001,-66.3821,28.92,69,75,10.0,CA,2021-12-03 17:17:35
540,Leh,34.1667,77.5833,19.99,63,1,3.8,IN,2021-12-03 17:15:35
541,Fremont,37.5483,-121.9886,56.19,92,90,1.01,US,2021-12-03 17:17:35
